"","MandateId","SearchStatus","MandateDate","EntryDate","MandateSizeCurrency","MandateSizeAmount","AccountSizeAmount","MandateRegion","Fund","FundType","FundCountry","FundRegion","SearchConsultant","AssetManager","AssetManagerParentFirm","AssetManagerCountry","MainAssetClass","InvestmentApproach","SubAssetClass","CapSize","Style","Benchmark.Index","Month","Region","Year","Quarter","AC2","XR","OriginalAmount"
"1454",2147031311,"Completed",2017-07-05,"7/5/2017","USD",75,75,"U.S.","State of Wisconsin Investment Board","Public D.B.","United States","North America","None","Heitman","","United States","Real Estate","Mixed/Unspecified","Core/Debt","","","","07","US","2017","Q3","Real Estate",1,75
"1461",2147030772,"Completed",2017-07-24,"7/24/2017","USD",30,15,"International","City of Ann Arbor Employees’ Retirement System","Public D.B.","United States","North America","Meketa Investment Group","Hexavest","Eaton Vance Management","Canada","Equity","Mixed/Unspecified","","","","","07","US","2017","Q3","Equity",1,15
"1465",2147028571,"Completed",2017-01-12,"1/12/2017","USD",42.5,42.5,"Europe","Employees Retirement System of Texas","Public D.B.","United States","North America","Altius Associates","HgCapital","","United Kingdom","Private Equity","","Buyout","","","","01","US","2017","Q1","Private Equity",1,42.5
"1466",2147028536,"Completed",2017-01-10,"1/10/2017","USD",147,147,"Europe","Texas Teachers' Retirement System","Public D.B.","United States","North America","Hamilton Lane Advisors","HgCapital","","United Kingdom","Private Equity","","Middle-Market","","","","01","US","2017","Q1","Private Equity",1,147
"1467",2147030019,"Completed",2017-04-19,"4/19/2017","USD",50,50,"Europe","State of Wisconsin Investment Board","Public D.B.","United States","North America","StepStone Group, LP","HgCapital","","United Kingdom","Private Equity","","Buyout","","","","04","US","2017","Q2","Private Equity",1,50
"1468",2147032081,"Completed",2017-08-07,"8/7/2017","USD",105,105,"Global (ex U.S.)","Texas Teachers' Retirement System","Public D.B.","United States","North America","None","HgCapital","","United Kingdom","Private Equity","","Buyout","","","","08","US","2017","Q3","Private Equity",1,105
"1471",2147030031,"Completed",2017-04-19,"4/19/2017","USD",75,75,"U.S.","State of Wisconsin Investment Board","Public D.B.","United States","North America","Courtland Partners","High Street Realty Company","","United States","Real Estate","Mixed/Unspecified","REIT","","","","04","US","2017","Q2","Real Estate",1,75
"1472",2147032570,"Completed",2017-08-30,"8/30/2017","USD",22,22,"North America","New York State Common Retirement Fund","Public D.B.","United States","North America","None","HighBAR Partners","","United States","Private Equity","","Technology","","","","08","US","2017","Q3","Private Equity",1,22
"1474",2147030024,"Completed",2017-04-19,"4/19/2017","USD",50,50,"Global","State of Wisconsin Investment Board","Public D.B.","United States","North America","Cliffwater","Highbridge Capital Management","","United States","Hedge Funds","","Multi-Strategy","","","","04","US","2017","Q2","Hedge Funds",1,50
"1475",2147031504,"Completed",2017-07-13,"7/13/2017","USD",13,13,"Global","University of Kentucky","Endowment","United States","North America","None","Highfields Capital","","United States","Hedge Funds","","","","","","07","US","2017","Q3","Hedge Funds",1,13
"1478",2147030200,"Completed",2017-04-28,"4/28/2017","USD",0,0,"U.S.","University of Texas Investment Management Co.","Endowment","United States","North America","Cambridge Associates","Highridge Provender","","United States","Real Estate","Mixed/Unspecified","","","","","04","US","2017","Q2","Real Estate",1,0
"1479",2147030877,"Completed",2017-06-19,"6/20/2017","USD",80,0,"Global","University of Michigan","Endowment","United States","North America","None","HighVista Strategies","HighVista Strategies","","Hedge Funds","","Fund of Hedge Funds","","","","06","US","2017","Q2","Hedge Funds",1,0
"1480",2147028564,"Completed",2017-01-12,"1/12/2017","USD",200,200,"Global","San Francisco City & County Employees’ Retirement System","Public D.B.","United States","North America","NEPC","Himalaya Capital Management","","United States","Equity","Mixed/Unspecified","","","Value","","01","US","2017","Q1","Equity",1,200
"1481",-1522012890,"Completed",2017-07-13,"7/13/2017","USD",200,100,"U.S.","Oklahoma Teachers Retirement System","Public D.B.","United States","North America","AndCo Consulting (formerly The Bogdahn Group)","Hoisington Investment Management","","United States","Fixed Income","Active","","","","","07","US","2017","Q3","Fixed Income",1,100
"1482",2147030052,"Completed",2017-05-25,"5/25/2017","USD",0,0,"U.S.","Oklahoma Public Employees Retirement System","Public D.B.","United States","North America","Verus Advisory Inc. (formerly Strategic Investment Solutions)","Hoisington Investment Management","Hoisington Investment Management","","Fixed Income","Mixed/Unspecified","","","","","05","US","2017","Q2","Fixed Income",1,0
"1484",2147025505,"Completed",2017-04-28,"4/28/2017","USD",0,0,"Global","University of Texas Investment Management Co.","Endowment","United States","North America","Cambridge Associates","Holocene Advisors","","United States","Hedge Funds","","Long/Short","","","","04","US","2017","Q2","Hedge Funds",1,0
"1486",2147031016,"Completed",2017-06-23,"6/23/2017","USD",7,7,"U.S.","City of Laredo (Texas) Firefighters’ Retirement System","Public D.B.","United States","North America","Fund Evaluation Group","Hood River Capital Management","","United States","Equity","Active","","Small-Cap","Growth","","06","US","2017","Q2","Equity",1,7
"1490",2147031646,"Completed",2017-07-19,"7/19/2017","USD",15,15,"Ukraine","International Finance Corporation","Corporate D.B.","United States","North America","None","Horizon Capital","","United States","Private Equity","","","","","","07","US","2017","Q3","Private Equity",1,15
"1492",2147030952,"Completed",2017-06-22,"6/22/2017","USD",20,20,"Global","Tallahassee Pension Plan","Public D.B.","United States","North America","Segal Marco Advisors (formerly Segal Rogerscasey)","Horsley Bridge Partners","","United States","Private Equity","","Fund-of-Funds/Venture Capital","","","","06","US","2017","Q2","Private Equity",1,20
"1493",2147029781,"Completed",2017-07-28,"7/31/2017","USD",360,0,"Global","Vermont Pension Investment Committee","Public D.B.","United States","North America","NEPC","Hosking Partners","","United Kingdom","Equity","Mixed/Unspecified","","","","","07","US","2017","Q3","Equity",1,0
"1495",1003161869,"Completed",2017-07-13,"7/13/2017","USD",406,406,"U.S.","Oklahoma Teachers Retirement System","Public D.B.","United States","North America","AndCo Consulting (formerly The Bogdahn Group)","Hotchkis and Wiley Capital Management","","United States","Equity","Active","","Large-Cap","Value","","07","US","2017","Q3","Equity",1,406
"1499",2147025331,"Completed",2017-03-30,"3/30/2017","USD",825,825,"U.S.","North Carolina Retirement Systems","Public D.B.","United States","North America","Aon Hewitt Investment Consulting","HPS Investment Partners","","United States","Fixed Income","Mixed/Unspecified","Opportunistic","","","","03","US","2017","Q1","Fixed Income",1,825
"1500",2147032992,"Completed",2017-09-29,"9/29/2017","USD",100,100,"Global","New Mexico State Investment Council","Permanent Fund","United States","North America","Aksia","HPS Investment Partners","","United States","Fixed Income","Mixed/Unspecified","","","","","09","US","2017","Q3","Fixed Income",1,100
"1505",2147032247,"Completed",2017-08-14,"8/14/2017","USD",30,30,"U.S.","San Jose Federated City Employees Retirement System","Public D.B.","United States","North America","Meketa Investment Group","Hudson Bay Capital Management","","United States","Hedge Funds","","Absolute Return","","","","08","US","2017","Q3","Hedge Funds",1,30
"1507",2147029492,"Completed",2017-03-14,"3/14/2017","USD",25,25,"U.S.","University of Michigan","Endowment","United States","North America","Cambridge Associates","Huron Capital Partners","","United States","Private Equity","","Middle-Market","","","","03","US","2017","Q1","Private Equity",1,25
"1508",2147030788,"Completed",2017-06-14,"6/14/2017","USD",35,35,"Global","Michigan Retirement Systems","Public D.B.","United States","North America","None","Huron Capital Partners","","United States","Private Equity","","Middle-Market","","","","06","US","2017","Q2","Private Equity",1,35
"1510",2147030897,"Completed",2017-06-28,"6/28/2017","USD",50,50,"Global","New Mexico Educational Retirement Board","Public D.B.","United States","North America","None","I Squared Capital","","United States","Real Assets","","Infrastructure","","","","06","US","2017","Q2","Other Alternatives",1,50
"1511",2147030809,"Completed",2017-06-28,"6/28/2017","USD",150,150,"Global","Texas Municipal Retirement System","Public D.B.","United States","North America","Albourne Partners","I Squared Capital","","United States","Fixed Income","Mixed/Unspecified","Structured Bonds","","","","06","US","2017","Q2","Fixed Income",1,150
"1512",2147032151,"Completed",2017-08-21,"8/21/2017","USD",50,50,"Global","Hawaii Employees Retirement System","Public D.B.","United States","North America","Pension Consulting Alliance","I Squared Capital","","United States","Real Assets","","Infrastructure","","","","08","US","2017","Q3","Other Alternatives",1,50
"1513",2147027604,"Completed",2017-07-12,"7/13/2017","USD",40,40,"Global","Rhode Island State Investment Commission","Public D.B.","United States","North America","Pension Consulting Alliance","I Squared Capital","","United States","Real Assets","","Infrastructure","","","","07","US","2017","Q3","Other Alternatives",1,40
"1518",2147032328,"Completed",2017-08-17,"8/17/2017","USD",70.4,70.4,"Global","Virginia Retirement System","Public D.B.","United States","North America","None","ICON Advisers","","United States","Real Assets","","Infrastructure","","","","08","US","2017","Q3","Other Alternatives",1,70.4
"1519",2147028723,"Completed",2017-01-23,"1/23/2017","USD",40,20,"U.S.","Chicago Public School Teachers' Pension & Retirement Fund","Public D.B.","United States","North America","Callan Associates","ICV Capital Partners","","United States","Private Equity","","Buyout","","","","01","US","2017","Q1","Private Equity",1,20
"1520",2147029698,"Completed",2017-04-03,"4/3/2017","USD",35,35,"North America","Illinois Municipal Retirement Fund","Public D.B.","United States","North America","Callan Associates","ICV Capital Partners","","United States","Private Equity","","Buyout/Middle-Market","","","","04","US","2017","Q2","Private Equity",1,35
"1521",2147032980,"Completed",2017-09-18,"9/18/2017","USD",10,10,"U.S.","Los Angeles Fire & Police Pension System","Public D.B.","United States","North America","RVK Inc.","ICV Capital Partners","","United States","Private Equity","","Middle-Market","","","","09","US","2017","Q3","Private Equity",1,10
"1522",2147032463,"Completed",2017-08-23,"8/23/2017","USD",50,50,"Emerging Markets","Teachers' Retirement System of the State of Illinois","Public D.B.","United States","North America","None","ICV Capital Partners","","United States","Private Equity","","","","","","08","US","2017","Q3","Private Equity",1,50
"1523",2147032327,"Completed",2017-08-17,"8/17/2017","USD",50,50,"North America","Virginia Retirement System","Public D.B.","United States","North America","None","ICV Capital Partners","","United States","Private Equity","","Buyout","","","","08","US","2017","Q3","Private Equity",1,50
"1525",2147031863,"Completed",2017-07-31,"7/31/2017","USD",30,30,"China","Delaware Public Employees Retirement System","Public D.B.","United States","North America","Ashford Consulting Group","IDG Capital Partners","","China","Private Equity","","Venture Capital","","","","07","US","2017","Q3","Private Equity",1,30
"1526",2147031562,"Completed",2017-07-14,"7/14/2017","USD",30,30,"Asia","Texas County & District Retirement System","Public D.B.","United States","North America","Cliffwater","IDG Capital Partners","","China","Private Equity","","Venture Capital","","","","07","US","2017","Q3","Private Equity",1,30
"1535",2147028954,"Completed",2017-06-13,"6/13/2017","USD",30,20,"Global","Plymouth County (Mass.) Retirement System","Public D.B.","United States","North America","Meketa Investment Group","IFM Investors","","United States","Real Assets","","Infrastructure","","","","06","US","2017","Q2","Other Alternatives",1,20
"1536",2147030694,"Completed",2017-06-08,"6/8/2017","USD",50,50,"Global","Arkansas Teachers Retirement System","Public D.B.","United States","North America","Aon Hewitt Investment Consulting","IFM Investors","","United States","Real Assets","","Infrastructure","","","","06","US","2017","Q2","Other Alternatives",1,50
"1537",2147030184,"Completed",2017-05-19,"5/19/2017","USD",100,100,"Global","Ohio Police & Fire Pension Fund","Public D.B.","United States","North America","The Townsend Group","IFM Investors","","United States","Real Assets","","Infrastructure","","","","05","US","2017","Q2","Other Alternatives",1,100
"1538",2147033027,"Completed",2017-09-19,"9/20/2017","USD",75,75,"Global","Sonoma County Employees’ Retirement Association","Public D.B.","United States","North America","Aon Hewitt Investment Consulting","IFM Investors","","United States","Real Assets","","Infrastructure","","","","09","US","2017","Q3","Other Alternatives",1,75
"1539",2147032540,"Completed",2017-08-29,"8/29/2017","USD",60,60,"Global","Ohio Police & Fire Pension Fund","Public D.B.","United States","North America","The Townsend Group","IFM Investors","","United States","Real Assets","","Infrastructure","","","","08","US","2017","Q3","Other Alternatives",1,60
"1555",2147029307,"Completed",2017-03-02,"3/2/2017","USD",11,11,"U.S.","Alaska Permanent Fund Corporation","Public D.B.","United States","North America","TorreyCove Capital Partners","Incline Equity Partner","","United States","Private Equity","","Buyout/Middle-Market","","","","03","US","2017","Q1","Private Equity",1,11
"1556",2147028507,"Completed",2017-01-06,"1/6/2017","USD",10,10,"U.S.","Los Angeles City Employees Retirement System (LACERS)","Public D.B.","United States","North America","Portfolio Advisors","Incline Equity Partner","","United States","Private Equity","","Buyout/Middle-Market","","","","01","US","2017","Q1","Private Equity",1,10
"1558",2147030511,"Completed",2017-05-24,"5/24/2017","USD",0,0,"U.S.","New Castle County Employees’ Pension Program","Public D.B.","United States","North America","NEPC","Income Research & Management","","United States","Fixed Income","Mixed/Unspecified","Treasury Inflation Protection Securities","","","","05","US","2017","Q2","Fixed Income",1,0
"1559",2147030510,"Completed",2017-05-24,"5/24/2017","USD",0,0,"U.S.","New Castle County Employees’ Pension Program","Public D.B.","United States","North America","NEPC","Income Research & Management","","United States","Fixed Income","Mixed/Unspecified","Core","","","","05","US","2017","Q2","Fixed Income",1,0
"1560",2147030313,"Completed",2017-05-09,"5/9/2017","USD",2,2,"U.S.","University of New Hampshire System","Endowment","United States","North America","Prime, Buchholz & Associates","Income Research & Management","","United States","Fixed Income","Active","Treasury Inflation Protection Securities","","","","05","US","2017","Q2","Fixed Income",1,2
"1561",2147030312,"Completed",2017-05-09,"5/9/2017","USD",2,2,"U.S.","University of New Hampshire System","Endowment","United States","North America","Prime, Buchholz & Associates","Income Research & Management","","United States","Fixed Income","Active","Government Bonds","","","","05","US","2017","Q2","Fixed Income",1,2
"1562",2147030082,"Completed",2017-04-21,"4/21/2017","USD",200,200,"U.S.","Idaho Public Employees Retirement System","Public D.B.","United States","North America","Callan Associates","Income Research & Management","","United States","Fixed Income","Mixed/Unspecified","Government Bonds/Credit","","","","04","US","2017","Q2","Fixed Income",1,200
"1563",2147031774,"Completed",2017-07-26,"8/15/2017","USD",40,40,"U.S.","DeKalb County Employees Retirement System","Public D.B.","United States","North America","Callan Associates","Income Research & Management","","United States","Equity","Mixed/Unspecified","","","","","07","US","2017","Q3","Equity",1,40
"1564",2147031474,"Completed",2017-07-12,"7/12/2017","USD",6,6,"Global","City of Manchester (N.H.) Employees’ Contributory Retirement System","Public D.B.","United States","North America","NEPC","Income Research & Management","","United States","Fixed Income","Mixed/Unspecified","","","","","07","US","2017","Q3","Fixed Income",1,6
"1565",2147032620,"Completed",2017-08-31,"8/31/2017","USD",2,2,"Asia Pacific","San Antonio Fire & Police Pension Fund","Public D.B.","United States","North America","NEPC","Indus Capital Partners","","United States","Hedge Funds","","","","","","08","US","2017","Q3","Hedge Funds",1,2
"1577",2147030851,"Completed",2017-07-06,"7/6/2017","USD",25,25,"International","Iowa Municipal Fire & Police Retirement System","Public D.B.","United States","North America","Summit Strategies Group","InfraRed Capital Partners","","United Kingdom","Real Estate","Mixed/Unspecified","","","","","07","US","2017","Q3","Real Estate",1,25
"1581",2147027658,"Completed",2017-02-27,"2/27/2017","USD",100,100,"U.S.","Stanislaus County Employees' Retirement Association","Public D.B.","United States","North America","Verus Advisory Inc. (formerly Wurts & Associates)","Insight Investment","Insight Investment","United Kingdom","Fixed Income","Active","Government Bonds/Investment Grade/Credit","","","","02","US","2017","Q1","Fixed Income",1,100
"1582",2147032359,"Completed",2017-08-18,"8/18/2017","USD",300,300,"Global","Contra Costa County Employees Retirement Association","Public D.B.","United States","North America","None","Insight Investment","","United States","Cash","","","","","","08","US","2017","Q3","Other",1,300
"1583",2147030830,"Completed",2017-06-16,"6/16/2017","USD",100,100,"Global","Pennsylvania State Employees Retirement System","Public D.B.","United States","North America","StepStone Group, LP","Insight Venture Partners","","United States","Private Equity","","Technology","","","","06","US","2017","Q2","Private Equity",1,100
"1584",2147022153,"Completed",2017-08-29,"8/29/2017","USD",50,50,"Global","Louisiana State Employees Retirement System","Public D.B.","United States","North America","NEPC","Insight Venture Partners","","United States","Private Equity","","Buyout/Technology","","","","08","US","2017","Q3","Private Equity",1,50
