"","MandateId","SearchStatus","MandateDate","EntryDate","MandateSizeCurrency","MandateSizeAmount","AccountSizeAmount","MandateRegion","Fund","FundType","FundCountry","FundRegion","SearchConsultant","AssetManager","AssetManagerParentFirm","AssetManagerCountry","MainAssetClass","InvestmentApproach","SubAssetClass","CapSize","Style","Benchmark.Index","Month","Region","Year","Quarter","AC2","XR","OriginalAmount"
"531",2147031515,"Completed",2017-07-13,"7/14/2017","USD",100,100,"Global","Houston Firefighters’ Relief and Retirement Fund","Public D.B.","United States","North America","None","Blackstone","Blackstone Group","United States","Private Equity","","Buyout","","","","07","US","2017","Q3","Private Equity",1,100
"533",2147029716,"Completed",2017-07-20,"7/20/2017","USD",30,15,"Global","San Antonio Fire & Police Pension Fund","Public D.B.","United States","North America","NEPC","Bloomfield Capital","","United States","Private Equity","","Credit-Focused","","","","07","US","2017","Q3","Private Equity",1,15
"534",2147030083,"Completed",2017-04-21,"4/21/2017","USD",1200,400,"Global","Idaho Public Employees Retirement System","Public D.B.","United States","North America","Callan Associates","BLS Capital","","Denmark","Equity","Mixed/Unspecified","","","","","04","US","2017","Q2","Equity",1,400
"535",2147030996,"Completed",2017-06-28,"6/28/2017","USD",75,75,"Australia","Texas Municipal Retirement System","Public D.B.","United States","North America","Albourne Partners","Blue Sky Funds","","Australia","Real Assets","","Farmland","","","","06","US","2017","Q2","Other Alternatives",1,75
"537",2147030046,"Completed",2017-04-19,"4/19/2017","USD",10,10,"U.K.","University of Michigan","Endowment","United States","North America","Cambridge Associates","Blue Water Energy","","United Kingdom","Commodities","","Energy","","","","04","US","2017","Q2","Other Alternatives",1,10
"538",2147032909,"Completed",2017-09-14,"9/14/2017","USD",25,25,"North America","Employees Retirement System of Texas","Public D.B.","United States","North America","Altius Associates","Blue Wolf Capital Management","","United States","Private Equity","","Buyout/Middle-Market","","","","09","US","2017","Q3","Private Equity",1,25
"545",2147031085,"Completed",2017-08-29,"8/29/2017","USD",140,70,"Global","Vermont Pension Investment Committee","Public D.B.","United States","North America","NEPC","BlueBay Asset Management","","United Kingdom","Fixed Income","Active","Private Debt","","","","08","US","2017","Q3","Fixed Income",1,70
"546",2147031903,"Completed",2017-08-01,"8/1/2017","USD",320,150,"Global","State of Wisconsin Investment Board","Public D.B.","United States","North America","None","BlueMountain Capital Management","","United States","Multi Asset","","","","","","08","US","2017","Q3","Multi Asset",1,150
"547",2147029227,"Completed",2017-03-30,"3/30/2017","USD",25,25,"Global","Chicago Policemen’s Annuity & Benefit Fund","Public D.B.","United States","North America","NEPC","BluePrint Capital Advisors","","United States","Multi Asset","","","","","","03","US","2017","Q1","Multi Asset",1,25
"548",2147028785,"Completed",2017-01-27,"1/27/2017","USD",300,300,"Global","New Jersey Division of Investment","Public D.B.","United States","North America","Aon Hewitt Investment Consulting","BluePrint Capital Advisors","","United States","Hedge Funds","","Risk Arbitrage","","","","01","US","2017","Q1","Hedge Funds",1,300
"549",2147031628,"Completed",2017-07-19,"7/19/2017","USD",15,15,"Global","University of Michigan","Endowment","United States","North America","None","BlueRun Ventures","","United States","Private Equity","","Venture Capital/Technology","","","","07","US","2017","Q3","Private Equity",1,15
"550",2147028761,"Completed",2017-01-30,"1/30/2017","USD",90,90,"Global","Arizona Public Safety Personnel Retirement System","Public D.B.","United States","North America","NEPC","Bluescape Energy Partners","","United States","Commodities","","Natural Resources","","","","01","US","2017","Q1","Other Alternatives",1,90
"553",2147031907,"Completed",2017-08-01,"8/1/2017","USD",1000,1000,"U.S.","Florida State Board of Administration","Public D.B.","United States","North America","Cambridge Associates","BMO Global Asset Management","","United States","Equity","Active","","Large-Cap","Growth","","08","US","2017","Q3","Equity",1,1000
"563",2147029717,"Completed",2017-03-27,"3/27/2017","USD",312,156,"Global","Rhode Island State Investment Commission","Public D.B.","United States","North America","Pension Consulting Alliance","BNY Mellon HedgeMark","","United States","Hedge Funds","","","","","","03","US","2017","Q1","Hedge Funds",1,156
"564",2147029636,"Completed",2017-03-27,"3/27/2017","USD",312,156,"U.S.","Rhode Island State Investment Commission","Public D.B.","United States","North America","Pension Consulting Alliance","BNY Mellon HedgeMark","","United States","Fixed Income","Active","Government Bonds","","","","03","US","2017","Q1","Fixed Income",1,156
"570",2147031284,"Completed",2017-07-05,"7/5/2017","USD",200,200,"Global","Texas County & District Retirement System","Public D.B.","United States","North America","Cliffwater","Boston Partners","","United States","Hedge Funds","","Long/Short","","","","07","US","2017","Q3","Hedge Funds",1,200
"571",2147031241,"Completed",2017-07-03,"7/4/2017","USD",0,0,"U.S.","Town of Plymouth (Mass.) Retirement System","Public D.B.","United States","North America","Fiduciary Investment Advisors","Boston Trust & Investment Management Company","","United States","Equity","Mixed/Unspecified","","Small-Cap","Core","","07","US","2017","Q3","Equity",1,0
"572",2147029778,"Completed",2017-04-04,"4/4/2017","USD",100,100,"Global","Texas Municipal Retirement System","Public D.B.","United States","North America","Albourne Partners","Boussard & Gavaudan Asset Management","","United Kingdom","Hedge Funds","","Absolute Return","","","","04","US","2017","Q2","Hedge Funds",1,100
"573",2147027411,"Completed",2017-03-06,"3/6/2017","USD",2.5,2.5,"U.S.","Westmoreland County Municipal Authority","Public D.B.","United States","North America","Morrison Fiduciary Advisors","Boyd Watterson Asset Management","","United States","Real Estate","Mixed/Unspecified","","","","","03","US","2017","Q1","Real Estate",1,2.5
"574",2147032771,"Completed",2017-09-11,"9/11/2017","USD",0,0,"Global","Erie County (Pa.) Employees’ Retirement System","Public D.B.","United States","North America","None","Boyd Watterson Asset Management","","United States","Fixed Income","Mixed/Unspecified","High-Yield","","","","09","US","2017","Q3","Fixed Income",1,0
"575",2147031445,"Completed",2017-07-12,"7/12/2017","USD",0,0,"U.S.","Erie County (Pa.) Employees’ Retirement System","Public D.B.","United States","North America","None","Boyd Watterson Asset Management","","United States","Real Estate","Mixed/Unspecified","","","","","07","US","2017","Q3","Real Estate",1,0
"578",2147028889,"Completed",2017-02-02,"2/2/2017","USD",40,40,"U.S.","Utah School & Institutional Trust Fund","Trust Fund","United States","North America","None","Bramshill Investments","","United States","Fixed Income","Active","Core","","","","02","US","2017","Q1","Fixed Income",1,40
"580",2147031794,"Completed",2017-07-26,"7/26/2017","USD",0,0,"Global","San Luis Obispo County Pension Trust","Public D.B.","United States","North America","Verus Advisory Inc. (formerly Wurts & Associates)","Brandywine Asset Management, Inc.","","United States","Fixed Income","Mixed/Unspecified","","","","","07","US","2017","Q3","Fixed Income",1,0
"582",2147021721,"Completed",2017-02-01,"2/1/2017","USD",55,0,"International","Cambridge (Mass.) Retirement System","Public D.B.","United States","North America","Segal Marco Advisors (formerly Segal Rogerscasey)","Brandywine Global Investment Management","Legg Mason","United States","Fixed Income","Active","","","","","02","US","2017","Q1","Fixed Income",1,0
"583",2147029356,"Completed",2017-03-06,"3/6/2017","USD",50,50,"U.S.","Indiana Public Retirement System","Public D.B.","United States","North America","Verus Advisory Inc. (formerly Wurts & Associates)","Bregal Sagemount","","United States","Private Equity","","","","","","03","US","2017","Q1","Private Equity",1,50
"584",2147031091,"Completed",2017-06-27,"6/27/2017","USD",75,75,"U.S.","Indiana Public Retirement System","Public D.B.","United States","North America","None","Brentwood Associates","","United States","Private Equity","","","","","","06","US","2017","Q2","Private Equity",1,75
"585",2147030874,"Completed",2017-06-19,"6/20/2017","USD",40,40,"U.S.","Missouri Local Government Employees Retirement System","Public D.B.","United States","North America","None","Brentwood Associates","","United States","Private Equity","","Buyout","","","","06","US","2017","Q2","Private Equity",1,40
"586",2147029894,"Completed",2017-04-07,"4/7/2017","USD",25,25,"U.S.","Los Angeles City Employees Retirement System (LACERS)","Public D.B.","United States","North America","Portfolio Advisors","Brentwood Associates","","United States","Private Equity","","Buyout","","","","04","US","2017","Q2","Private Equity",1,25
"587",2147029485,"Completed",2017-04-20,"4/20/2017","USD",60,60,"U.S.","University of Michigan","Endowment","United States","North America","Cambridge Associates","Brevet Capital Management","","United States","Hedge Funds","","Credit-Focused","","","","04","US","2017","Q2","Hedge Funds",1,60
"588",2147032406,"Completed",2017-08-21,"8/21/2017","USD",75,75,"U.S.","Arizona Public Safety Personnel Retirement System","Public D.B.","United States","North America","StepStone Group","Brevet Capital Management","","United States","Private Equity","","","","","","08","US","2017","Q3","Private Equity",1,75
"589",2147031428,"Completed",2017-07-11,"7/12/2017","USD",48,48,"Global (ex U.S.)","Texas Teachers' Retirement System","Public D.B.","United States","North America","None","BridgePoint Capital","","United Kingdom","Private Equity","","Buyout/Middle-Market","","","","07","US","2017","Q3","Private Equity",1,48
"596",2147031200,"Completed",2017-06-30,"6/30/2017","USD",0,0,"Global","Church Pension Fund","Corporate D.B.","United States","North America","None","Bridges Fund Management","","United Kingdom","Real Estate","Mixed/Unspecified","","","","","06","US","2017","Q2","Real Estate",1,0
"599",2147028646,"Completed",2017-02-06,"2/6/2017","USD",200,200,"Global","Delaware Public Employees Retirement System","Public D.B.","United States","North America","Ashford Consulting Group","Bridgewater Associates","","United States","Hedge Funds","","Global Macro","","","","02","US","2017","Q1","Hedge Funds",1,200
"600",2147030854,"Completed",2017-06-28,"6/28/2017","USD",750,375,"Global","Louisiana State Employees Retirement System","Public D.B.","United States","North America","NEPC","Bridgewater Capital Management","","United States","Alternative","","Risk Parity","","","","06","US","2017","Q2","Other Alternatives",1,375
"601",2147026485,"Completed",2017-01-04,"1/4/2017","USD",200,200,"U.S.","Illinois State Board of Investment","Public D.B.","United States","North America","Meketa Investment Group","Brigade Capital Management","","United States","Fixed Income","Mixed/Unspecified","High-Yield","","","Barclays Capital Corporate HY","01","US","2017","Q1","Fixed Income",1,200
"602",2147010780,"Completed",2017-07-25,"7/25/2017","USD",0,0,"U.S.","Orange County Employees Retirement System","Public D.B.","United States","North America","Meketa Investment Group","Brigade Capital Management","","United States","Fixed Income","Mixed/Unspecified","Core/Credit","","","","07","US","2017","Q3","Fixed Income",1,0
"607",2147027722,"Completed",2017-03-30,"3/30/2017","USD",20,20,"Global","Chicago Policemen’s Annuity & Benefit Fund","Public D.B.","United States","North America","NEPC","Brookfield Asset Management","","United States","Real Estate","Mixed/Unspecified","Debt","","","","03","US","2017","Q1","Real Estate",1,20
"608",2147028827,"Completed",2017-01-30,"1/30/2017","USD",840,210,"Global","New York State Teachers’ Retirement System","Public D.B.","United States","North America","Callan Associates","Brookfield Asset Management","","United States","Real Estate","Mixed/Unspecified","REIT","","","","01","US","2017","Q1","Real Estate",1,210
"609",2147029745,"Completed",2017-06-29,"6/29/2017","USD",250,250,"U.S.","New Mexico Educational Retirement Board","Public D.B.","United States","North America","NEPC","Brookfield Asset Management","","Canada","Real Estate","Mixed/Unspecified","REIT","","","","06","US","2017","Q2","Real Estate",1,250
"610",2147030363,"Completed",2017-05-22,"5/22/2017","USD",150,150,"Global","Illinois Municipal Retirement Fund","Public D.B.","United States","North America","Callan Associates","Brookfield Asset Management","","United States","Real Assets","","Infrastructure","","","","05","US","2017","Q2","Other Alternatives",1,150
"611",2147030250,"Completed",2017-09-11,"9/11/2017","USD",400,200,"Global","Teachers’ Retirement System of Louisiana","Public D.B.","United States","North America","Aon Hewitt Investment Consulting","Brookfield Asset Management","","Canada","Real Estate","Mixed/Unspecified","REIT","","","","09","US","2017","Q3","Real Estate",1,200
"613",2147030984,"Completed",2017-06-27,"6/27/2017","USD",100,0,"U.S.","South Carolina Retirement System Investment Commission","Public D.B.","United States","North America","Meketa Investment Group","Brookfield Real Estate Finance Fund V","Brookfield Real Estate Finance Fund V","","Real Estate","Mixed/Unspecified","Debt","","","","06","US","2017","Q2","Real Estate",1,0
"614",2147027168,"Completed",2017-07-28,"7/28/2017","USD",4,4,"U.S.","Chesapeake College","Foundation","United States","North America","None","Brown Advisory","","United States","Multi Asset","","","","","","07","US","2017","Q3","Multi Asset",1,4
"618",2147030030,"Completed",2017-04-19,"4/19/2017","USD",100,100,"U.S.","State of Wisconsin Investment Board","Public D.B.","United States","North America","Courtland Partners","Buchanan Street Partners","","United States","Real Estate","Mixed/Unspecified","Value-Added","","","","04","US","2017","Q2","Real Estate",1,100
"619",2147031090,"Completed",2017-06-27,"6/27/2017","USD",75,75,"Global","Indiana Public Retirement System","Public D.B.","United States","North America","None","Butterfly Ventures","","Finland","Private Equity","","Venture Capital","","","","06","US","2017","Q2","Private Equity",1,75
"621",2147028958,"Completed",2017-02-08,"2/8/2017","USD",30,30,"U.S.","Arkansas Teachers Retirement System","Public D.B.","United States","North America","Franklin Park Associates","BV Investment Partners","","United States","Private Equity","","Buyout","","","","02","US","2017","Q1","Private Equity",1,30
"622",2147032746,"Completed",2017-09-08,"9/11/2017","USD",19,19,"North America","Montgomery County (Md.) Employees Retirement System","Public D.B.","United States","North America","Wilshire Associates","BV Investment Partners","","United States","Private Equity","","Buyout/Middle-Market","","","","09","US","2017","Q3","Private Equity",1,19
"623",2147032581,"Completed",2017-08-31,"8/31/2017","USD",15,15,"U.S.","Arlington County (Va.) Employees’ Supplemental Retirement System","Public D.B.","United States","North America","Ashford Consulting Group","BV Investment Partners","","United States","Private Equity","","Middle-Market","","","","08","US","2017","Q3","Private Equity",1,15
"624",2147028547,"Completed",2017-01-11,"1/11/2017","USD",4,4,"U.S.","Westmoreland County (Penn.) Employees’ Retirement Fund","Public D.B.","United States","North America","Arthur J. Gallagher & Co.","C.S. McKee & Co.","","United States","Fixed Income","Mixed/Unspecified","","","","","01","US","2017","Q1","Fixed Income",1,4
"625",2147028545,"Completed",2017-01-11,"1/11/2017","USD",10,10,"U.S.","Westmoreland County (Penn.) Employees’ Retirement Fund","Public D.B.","United States","North America","Arthur J. Gallagher & Co.","C.S. McKee & Co.","","United States","Equity","Mixed/Unspecified","","Large-Cap","","","01","US","2017","Q1","Equity",1,10
"627",2147029072,"Completed",2017-02-15,"2/15/2017","USD",50,50,"North America","University of Michigan","Endowment","United States","North America","Cambridge Associates","Cabot Properties","","United States","Real Estate","Mixed/Unspecified","Industrial","","","","02","US","2017","Q1","Real Estate",1,50
"630",2147030392,"Completed",2017-05-16,"5/16/2017","USD",25,25,"U.S.","University of Michigan","Endowment","United States","North America","Cambridge Associates","Calmwater Capital","","United States","Real Estate","Mixed/Unspecified","Debt","","","","05","US","2017","Q2","Real Estate",1,25
"631",2147033184,"Completed",2017-09-27,"9/27/2017","USD",30,30,"U.S.","Arkansas Teachers Retirement System","Public D.B.","United States","North America","None","Calmwater Capital","","United States","Real Estate","Mixed/Unspecified","Debt","","","","09","US","2017","Q3","Real Estate",1,30
"632",2147030044,"Completed",2017-05-05,"5/5/2017","USD",850,850,"Global","Washington State Investment Board","Public D.B.","United States","North America","Aon Hewitt Investment Consulting","Calzada Capital Partners","","United States","Real Estate","Mixed/Unspecified","Debt","","","","05","US","2017","Q2","Real Estate",1,850
"633",2147029515,"Completed",2017-03-15,"3/15/2017","USD",675,225,"Global","Hawaii Employees Retirement System","Public D.B.","United States","North America","Hamilton Lane Advisors","Campbell & Company","","United States","Alternative","","","","","","03","US","2017","Q1","Other Alternatives",1,225
"635",2147031184,"Completed",2017-06-30,"7/3/2017","USD",40,40,"U.S.","Tennessee Consolidated Retirement System","Public D.B.","United States","North America","TorreyCove Capital Partners","Canaan Partners","","United States","Private Equity","","Venture Capital","","","","06","US","2017","Q2","Private Equity",1,40
"636",2147032978,"Completed",2017-09-18,"9/18/2017","USD",10,10,"Global","Los Angeles Fire & Police Pension System","Public D.B.","United States","North America","RVK Inc.","Canaan Partners","","United States","Private Equity","","Venture Capital","","","","09","US","2017","Q3","Private Equity",1,10
"637",2147032551,"Completed",2017-08-30,"8/30/2017","USD",75,75,"U.S.","Los Angeles County Employees’ Retirement Association (LACERA)","Public D.B.","United States","North America","StepStone Group","Canaan Partners","","United States","Private Equity","","Venture Capital","","","","08","US","2017","Q3","Private Equity",1,75
"638",2147032098,"Completed",2017-08-07,"8/8/2017","USD",35,35,"Global","San Francisco City & County Employees’ Retirement System","Public D.B.","United States","North America","NEPC","Canaan Partners","","United States","Private Equity","","Venture Capital","","","","08","US","2017","Q3","Private Equity",1,35
"644",2147032199,"Completed",2017-08-16,"8/16/2017","USD",150,150,"Global","Massachusetts Pension Reserves Investment Management Board","Public D.B.","United States","North America","Aon Hewitt Investment Consulting","Canvas Capital SA","","Brazil","Private Equity","","Special Situations/Distressed","","","","08","US","2017","Q3","Private Equity",1,150
"646",2147033025,"Completed",2017-09-19,"9/19/2017","USD",3553,100,"U.S.","California Public Employees Retirement System","Public D.B.","United States","North America","None","Canyon Partners, LLC","Canyon Partners","United States","Real Estate","Mixed/Unspecified","","","","","09","US","2017","Q3","Real Estate",1,100
"647",2147032152,"Completed",2017-08-09,"8/9/2017","USD",5.8,5.8,"Europe","El Camino Hospital","Corporate D.C.","United States","North America","Pavilion Advisory Group","CapeView Capital","","United Kingdom","Hedge Funds","","Long/Short","","","HFRI FOF Composite","08","US","2017","Q3","Hedge Funds",1,5.8
"649",2147029875,"Completed",2017-04-05,"4/5/2017","USD",130,70,"Emerging Markets","Arizona Public Safety Personnel Retirement System","Public D.B.","United States","North America","NEPC","Capital Group","","Singapore","Fixed Income","Active","","","","","04","US","2017","Q2","Fixed Income",1,70
"650",2147032016,"Completed",2017-08-03,"8/3/2017","USD",24.5,12.25,"Global","Adams County Retirement Plan","Public D.B.","United States","North America","Ellwood Associates","Capital Group","Capital Group Companies","United Kingdom","Equity","Mixed/Unspecified","","Large-Cap","","","08","US","2017","Q3","Equity",1,12.25
"651",2147031227,"Completed",2017-07-03,"7/3/2017","USD",0,0,"International","Orange County Employees Retirement System","Public D.B.","United States","North America","None","Capital Group","Capital Group Companies","United Kingdom","Equity","Mixed/Unspecified","","","","","07","US","2017","Q3","Equity",1,0
"653",2147030435,"Completed",2017-05-19,"5/19/2017","USD",70,0,"U.S.","Texas Municipal Retirement System","Public D.B.","United States","North America","StepStone Group","Capital Partners Private Equity Income Fund III","Capital Partners Private Equity Income Fund III","","Private Equity","","Buyout","","","","05","US","2017","Q2","Private Equity",1,0
"654",2147032047,"Completed",2017-08-04,"8/4/2017","USD",40,40,"North America","Colorado Fire & Police Pension Association","Public D.B.","United States","North America","None","Capital Partners, Inc.","","United States","Private Equity","","Buyout/Middle-Market","","","","08","US","2017","Q3","Private Equity",1,40
"655",2147031535,"Completed",2017-07-14,"7/14/2017","USD",0,0,"U.S.","Miami-Dade County Deferred Compensation Plan","Public D.C.","United States","North America","None","Capital Research & Management Company","","United States","Balanced","Mixed/Unspecified","","","","","07","US","2017","Q3","Other",1,0
"656",2147031533,"Completed",2017-07-14,"7/14/2017","USD",0,0,"U.S.","Miami-Dade County Deferred Compensation Plan","Public D.C.","United States","North America","None","Capital Research & Management Company","","United States","Equity","Active","","Large-Cap","Growth","","07","US","2017","Q3","Equity",1,0
"659",2147031138,"Completed",2017-06-29,"6/29/2017","USD",50,50,"U.S.","Ohio Police & Fire Pension Fund","Public D.B.","United States","North America","Wilshire Associates","CapitalSpring","","United States","Fixed Income","Mixed/Unspecified","Credit","","","","06","US","2017","Q2","Fixed Income",1,50
"660",2147033243,"Completed",2017-09-29,"9/29/2017","USD",40,40,"U.S.","Montana Board of Investments","Public D.B.","United States","North America","RVK Inc.","CapitalSpring","","United States","Private Equity","","Credit-Focused/Middle-Market","","","","09","US","2017","Q3","Private Equity",1,40
"661",2147029716,"Completed",2017-07-20,"7/20/2017","USD",30,15,"Global","San Antonio Fire & Police Pension Fund","Public D.B.","United States","North America","NEPC","CapitalSpring","","United States","Private Equity","","Credit-Focused","","","","07","US","2017","Q3","Private Equity",1,15
"662",2147030289,"Completed",2017-06-16,"6/20/2017","USD",54,54,"Europe","Los Angeles County Employees’ Retirement Association (LACERA)","Public D.B.","United States","North America","The Townsend Group","CapMan Real Estate","","Finland","Real Estate","Mixed/Unspecified","Value-Added","","","","06","US","2017","Q2","Real Estate",1,54
"666",2147032613,"Completed",2017-08-31,"8/31/2017","USD",8,8,"Global","San Antonio Fire & Police Pension Fund","Public D.B.","United States","North America","NEPC","Carlson Capital","","United States","Hedge Funds","","Multi-Strategy","","","","08","US","2017","Q3","Hedge Funds",1,8
"667",2147032488,"Completed",2017-08-17,"8/24/2017","USD",0,0,"Global","Swedish Council of America Foundation","Foundation","United States","North America","None","Carlson Capital Management","","United States","Multi Asset","","","","","","08","US","2017","Q3","Multi Asset",1,0
"669",2147029376,"Completed",2017-03-23,"3/23/2017","USD",200,200,"U.S.","Pennsylvania Public School Employees Retirement System","Public D.B.","United States","North America","Courtland Partners","Carlyle Group","","United States","Real Estate","Mixed/Unspecified","Commercial/Opportunistic/Residential/Debt/Industrial","","","","03","US","2017","Q1","Real Estate",1,200
"670",2147028949,"Completed",2017-02-07,"2/7/2017","USD",150,150,"Global","California Public Employees Retirement System","Public D.B.","United States","North America","Hamilton Lane Advisors","Carlyle Group","","United States","Private Equity","","Buyout/Special Situations/Distressed","","","","02","US","2017","Q1","Private Equity",1,150
"671",2147031002,"Completed",2017-06-23,"6/23/2017","USD",200,200,"U.S.","Teachers' Retirement System of the State of Illinois","Public D.B.","United States","North America","None","Carlyle Group","Carlyle Group","United States","Real Estate","Mixed/Unspecified","Opportunistic","","","","06","US","2017","Q2","Real Estate",1,200
"672",2147030555,"Completed",2017-05-30,"5/30/2017","USD",60,60,"Global","Kentucky Teachers Retirement System","Public D.B.","United States","North America","Aon Hewitt Investment Consulting","Carlyle Group","","United States","Private Equity","","Buyout","","","","05","US","2017","Q2","Private Equity",1,60
"673",2147029810,"Completed",2017-05-25,"5/25/2017","USD",35,35,"North America","Houston Police Officers’ Pension System","Public D.B.","United States","North America","Segal Marco Advisors (formerly Segal Rogerscasey)","Carlyle Group","","United States","Real Estate","Mixed/Unspecified","Opportunistic","","","","05","US","2017","Q2","Real Estate",1,35
"674",2147030521,"Completed",2017-05-25,"5/25/2017","USD",50,50,"North America","Ohio School Employees Retirement System","Public D.B.","United States","North America","Wilshire Associates","Carlyle Group","","United States","Real Estate","Mixed/Unspecified","Opportunistic","","","","05","US","2017","Q2","Real Estate",1,50
"675",2147030260,"Completed",2017-05-04,"5/4/2017","USD",100,100,"U.S.","Texas County & District Retirement System","Public D.B.","United States","North America","Cliffwater","Carlyle Group","","United States","Real Estate","Mixed/Unspecified","","","","","05","US","2017","Q2","Real Estate",1,100
"676",2147030090,"Completed",2017-04-21,"4/21/2017","USD",100,100,"U.S.","Tennessee Consolidated Retirement System","Public D.B.","United States","North America","The Townsend Group","Carlyle Group","","United States","Real Estate","Mixed/Unspecified","Opportunistic","","","","04","US","2017","Q2","Real Estate",1,100
"677",2147029866,"Completed",2017-04-11,"4/11/2017","USD",100,100,"North America","Teachers’ Retirement System of Louisiana","Public D.B.","United States","North America","Aon Hewitt Investment Consulting","Carlyle Group","","United States","Real Estate","Mixed/Unspecified","Opportunistic","","","","04","US","2017","Q2","Real Estate",1,100
"678",2147033174,"Completed",2017-09-27,"9/27/2017","USD",5,5,"U.S.","Merced County Employees Retirement Association","Public D.B.","United States","North America","Verus Advisory Inc. (formerly Wurts & Associates)","Carlyle Group","Carlyle Group","United States","Real Estate","Mixed/Unspecified","Debt","","","","09","US","2017","Q3","Real Estate",1,5
"679",2147032937,"Completed",2017-09-15,"9/15/2017","USD",15,15,"U.S.","Seattle City Employees’ Retirement System","Public D.B.","United States","North America","NEPC","Carlyle Group","Carlyle Group","United States","Real Estate","Mixed/Unspecified","","","","","09","US","2017","Q3","Real Estate",1,15
"680",2147032911,"Completed",2017-09-14,"9/14/2017","USD",100,100,"Global","Employees Retirement System of Texas","Public D.B.","United States","North America","Altius Associates","Carlyle Group","Carlyle Group","United States","Private Equity","","Buyout","","","","09","US","2017","Q3","Private Equity",1,100
"681",2147030305,"Completed",2017-08-29,"8/29/2017","USD",20,0,"Global","Ohio State Highway Patrol Retirement System","Public D.B.","United States","North America","Hartland & Company","Carlyle Group","Carlyle Group","United States","Real Assets","","Infrastructure","","","","08","US","2017","Q3","Other Alternatives",1,0
"682",2147031927,"Completed",2017-08-01,"8/1/2017","USD",100,100,"North America","Florida State Board of Administration","Public D.B.","United States","North America","The Townsend Group","Carlyle Group","Carlyle Group","United States","Real Estate","Mixed/Unspecified","Opportunistic","","","","08","US","2017","Q3","Real Estate",1,100
"683",2147031926,"Completed",2017-08-01,"8/1/2017","USD",100,100,"U.S.","Florida State Board of Administration","Public D.B.","United States","North America","The Townsend Group","Carlyle Group","Carlyle Group","United States","Real Estate","Mixed/Unspecified","Core","","","","08","US","2017","Q3","Real Estate",1,100
"684",2147030456,"Completed",2017-05-19,"5/19/2017","USD",7.5,7.5,"U.S.","University of Houston","Endowment","United States","North America","Cambridge Associates","Carnelian Energy Capital","","United States","Commodities","","Energy","","","","05","US","2017","Q2","Other Alternatives",1,7.5
"685",2147031919,"Completed",2017-08-01,"8/22/2017","USD",40,40,"North America","Florida State Board of Administration","Public D.B.","United States","North America","Cambridge Associates","Carnelian Energy Capital","","United States","Private Equity","","Commodities-Focused/Middle-Market","","","","08","US","2017","Q3","Private Equity",1,40
"686",2147031395,"Completed",2017-07-10,"7/10/2017","USD",40,40,"North America","San Francisco City & County Employees’ Retirement System","Public D.B.","United States","North America","None","Carnelian Energy Capital","","United States","Real Assets","","","","","","07","US","2017","Q3","Other Alternatives",1,40
"687",2147029759,"Completed",2017-03-30,"3/30/2017","USD",30,30,"U.S.","North Carolina Retirement Systems","Public D.B.","United States","North America","Aon Hewitt Investment Consulting","Carousel Capital","","United States","Private Equity","","Buyout","","","","03","US","2017","Q1","Private Equity",1,30
"688",2147028987,"Completed",2017-02-09,"2/9/2017","USD",240,90,"U.S.","State of Wisconsin Investment Board","Public D.B.","United States","North America","Courtland Partners","Carson Companies","","United States","Real Estate","Mixed/Unspecified","Industrial","","","","02","US","2017","Q1","Real Estate",1,90
"690",2147032206,"Completed",2017-08-16,"8/22/2017","USD",200,200,"Global","Massachusetts Pension Reserves Investment Management Board","Public D.B.","United States","North America","Aon Hewitt Investment Consulting","CarVal Investors","","United States","Private Equity","","Credit-Focused/Special Situations/Distressed","","","","08","US","2017","Q3","Private Equity",1,200
"691",2147031465,"Completed",2017-07-12,"7/12/2017","USD",5,5,"Global","City of Manchester (N.H.) Employees’ Contributory Retirement System","Public D.B.","United States","North America","NEPC","CarVal Investors","","United States","Fixed Income","Mixed/Unspecified","Credit","","","","07","US","2017","Q3","Fixed Income",1,5
"693",2147030227,"Completed",2017-05-02,"5/2/2017","USD",150,150,"U.S.","Florida State Board of Administration","Public D.B.","United States","North America","Cambridge Associates","Castlelake","","United States","Distressed Debt","","","","","","05","US","2017","Q2","Other Alternatives",1,150
"696",2147031034,"Completed",2017-09-11,"9/11/2017","USD",16,16,"Global","Baltimore (City of) Fire & Police Employees’ Retirement System","Public D.B.","United States","North America","Summit Strategies Group","Castlelake","","United States","Private Equity","","","","","","09","US","2017","Q3","Private Equity",1,16
"697",2147032163,"Completed",2017-08-09,"8/9/2017","USD",50,50,"Global","Employees Retirement System of Texas","Public D.B.","United States","North America","Altius Associates","Castlelake","","United States","Private Equity","","Special Situations/Distressed","","","","08","US","2017","Q3","Private Equity",1,50
"698",2147032097,"Completed",2017-08-07,"8/8/2017","USD",50,50,"Global","San Francisco City & County Employees’ Retirement System","Public D.B.","United States","North America","NEPC","Castlelake","","United States","Private Equity","","","","","","08","US","2017","Q3","Private Equity",1,50
"699",2147031261,"Completed",2017-07-11,"7/11/2017","USD",75,0,"U.S.","Teachers’ Retirement System of Louisiana","Public D.B.","United States","North America","Hamilton Lane Advisors","Castlelake","","United States","Private Equity","","","","","","07","US","2017","Q3","Private Equity",1,0
